hotel_name,rating,description,address,url,city,latitude,longitude
Résidence L'Oiseau des Mers,9.8,"Résidence L'Oiseau des Mers in Saintes-Maries-de-la-Mer offers a 4-star apartment with a terrace and free WiFi. Guests enjoy air-conditioning, a private bathroom, and a fully equipped kitchen.","20 Avenue d'Arles, 13460 Saintes-Maries-de-la-Mer, France",https://www.booking.com/hotel/fr/residence-l-oiseau-des-mers.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCH3NlYXJjaF9zYWludGVzIG1hcmllcyBkZSBsYSBtZXJIM1gEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDw5NEGwAIB0gIkOGNiZmEyMzktMmM1OC00MjIyLThiZWMtMDhhZDNiODFjMGEz2AIB4AIB&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134801&srpvid=da2e5e887d0007fb&type=total&ucfs=1&,Saintes Maries De La Mer,43.4540501,4.427996
Hotel L'Escale,8.2,"Hotel L'Escale in Aigues-Mortes offers family rooms with private bathrooms, air-conditioning, and free WiFi. Each room includes a TV and free toiletries.","6 rue du Port, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/l-39-escale-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.56879591496389,4.1880866853236975
Marina Aigues Mortes 75m2,9.9,"Marina Aigues Mortes 75m2 in Aigues-Mortes offers two bedrooms and a bathroom. The holiday home features air-conditioning, a terrace, balcony, and free WiFi.","105 impasse Etambo, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/marina-aigues-mortes-75m2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5747463,4.1883983
Maison Aigues-Mortes 8 couchages,9.0,"Maison Aigues-Mortes 8 couchages in Aigues-Mortes offers three bedrooms and a living room. The property includes a terrace and free WiFi, ensuring a pleasant stay.","296 Route de Nîmes, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/maison-aigues-mortes-8-couchages.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5720711,4.1935493
Maison dans les remparts d'Aigues-Mortes,10,"Maison dans les remparts d'Aigues-Mortes in Aigues-Mortes offers a two-bedroom apartment with a private entrance. The property features family rooms and a balcony, ensuring a pleasant stay.","11 Rue des Capucins, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/maison-dans-les-remparts-d-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5655144,4.1943101
Appartement cosy Aigues-Mortes centre 4 pers,9.5,"Appartement cosy Aigues-Mortes centre 4 pers in Aigues-Mortes offers a 1-star apartment with two bedrooms and one bathroom. The property features parquet floors, a dining area, and a sofa, ensuring a pleasant stay.","6 Rue Emile Zola, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/appartement-cosy-aigues-mortes-centre-4-pers.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5675293,4.1913776
Marina à Aigues Mortes - GARD,9.6,Marina à Aigues Mortes in Aigues-Mortes offers a villa with a garden and terrace. Free WiFi is available throughout the property.,"105 Impasse Etambo, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/marina-a-aigues-mortes-gard.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5747248,4.1884645
Les Flo location,9.5,"Les Flo location in Aigues-Mortes offers a one-bedroom apartment with a living room and a private entrance. The ground-floor unit features a terrace, kitchen, and air-conditioning.","545 Route de Nîmes, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/les-flo-location.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.573982420304,4.195183373197
rez de chaussée studio climatisé dans villa,9.2,"The apartment offers a sun terrace, garden, and free WiFi. Guests can relax in the outdoor seating area or take advantage of the bicycle parking.","5 rue général de gaulle, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/studio-dans-villa.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.57100823492068,4.197566684655758
Charmante maison de pêcheur,9.4,"Charmante maison de pêcheur in Aigues-Mortes offers a holiday home with one bedroom and a living room. The property includes a terrace, balcony, and garden views.","14 106 Impasse Etambo, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/charmante-maison-de-pecheur-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5748541,4.1890169
